scheme,outer_fold,model,n_train,n_test,n_train_holes,n_test_holes,test_TFe_mean,test_TFe_sd,high_grade_threshold,n_high_grade_test,rmse,mae,r2,bias,correlation,calibration_slope,calibration_intercept,length_weighted_rmse,length_weighted_mae,high_grade_rmse,high_grade_mae,high_grade_bias
drillhole,3,OrdinaryKriging,796,204,23,6,25.02259803921569,7.535750106667811,31.97,22,7.818602494989359,5.737658001631851,-0.081781176624802,1.5312089167269027,0.039190970479442276,0.16081236934744317,20.752417427435947,6.982381774470738,5.1658406136651145,9.401275148744284,8.581947077832416,-8.581947077832416
drillhole,3,XGBoost,796,204,23,6,25.02259803921569,7.535750106667811,31.97,22,7.131354701097994,5.37641835343604,0.10003581032074471,0.5226187361922922,0.4049437261826337,0.6248459678159056,9.060772340118797,6.589425428831218,4.918079045322145,8.998288373264765,7.684993015636098,-7.684993015636098
drillhole,3,OOFResidualKriging,796,204,23,6,25.02259803921569,7.535750106667811,31.97,22,7.572959271095028,5.760830741224497,-0.014874627467998058,2.0717798390940585,0.38731138176562907,0.5649902054643994,9.714539914819387,6.791147044277618,5.131746392694824,7.573782551970064,6.414641165754753,-5.7301293252288215
drillhole,3,ConvexFusion,796,204,23,6,25.02259803921569,7.535750106667811,31.97,22,7.002975762323422,5.214634589322631,0.13214654004303084,0.7516530399399497,0.39610195491422867,0.7653250868627889,5.296917093237578,6.326438085171919,4.681191111134193,8.969326494174538,7.8886769461989665,-7.8886769461989665
drillhole,4,Mean,800,200,23,6,25.702800000000003,6.194213392981303,32.010999999999996,18,6.179224399752771,4.873051,-0.00016701459872381363,-0.07985000000000056,,,,5.818823984102062,4.607380893521047,8.070477228918994,7.892605555555558,-7.892605555555558
drillhole,4,OrdinaryKriging,800,200,23,6,25.702800000000003,6.194213392981303,32.010999999999996,18,6.0916025967547895,4.577715781597014,0.02799674392699547,0.7732032453920141,0.20921508184458706,1.0538282857174543,-2.19836111274123,5.706657898486766,4.30497019091561,6.5299591345018175,6.21357455937206,-6.21357455937206
drillhole,4,XGBoost,800,200,23,6,25.702800000000003,6.194213392981303,32.010999999999996,18,4.526298471420916,3.5351398212432867,0.463350201332996,-0.813674423980713,0.6933801034494207,1.0133544575802362,0.4812936522665975,4.060307974233818,3.239073896887498,6.328486942679829,6.072013922797311,-6.072013922797311
drillhole,4,OOFResidualKriging,800,200,23,6,25.702800000000003,6.194213392981303,32.010999999999996,18,4.701734101933467,3.512821633616085,0.42094379070579835,0.9651359466169731,0.6675614544746997,0.974917867199498,-0.2962472356886404,4.29124893043293,3.275662878537581,5.233765136337172,4.896796356294569,-4.896796356294569
drillhole,4,ConvexFusion,800,200,23,6,25.702800000000003,6.194213392981303,32.010999999999996,18,4.576371549092711,3.6124676450544837,0.45141093394907683,-0.4265762285049183,0.6951802234175307,1.3102636779603556,-7.415717923788101,4.149811461795613,3.346119436140149,6.347777495962017,6.106546412262155,-6.106546412262155
drillhole,5,Mean,800,200,23,6,26.65955,6.900403476478093,31.56,41,7.00036599347893,5.4862717499999984,-0.03435457925136509,-1.275787499999997,6.967996934733862e-17,,,6.518522113536879,5.264943776333762,9.93787702909583,9.519896036585362,-9.519896036585362
drillhole,5,OrdinaryKriging,800,200,23,6,26.65955,6.900403476478093,31.56,41,7.348882733009238,6.043483048614331,-0.13991005189169137,-2.443845745919076,0.10881294700959514,0.4043640042921968,16.86759086106425,6.90421906059684,5.778795571135642,10.370869769378526,9.987611005224316,-9.987611005224316
drillhole,5,XGBoost,800,200,23,6,26.65955,6.900403476478093,31.56,41,6.7795720443459615,5.313069665145874,0.029864249544205523,-1.7241872699737548,0.39356594083809937,0.6119537083854103,11.400262307425088,6.474474775151624,5.156868494382683,10.14735464946851,9.365295010078244,-9.365295010078244
drillhole,5,OOFResidualKriging,800,200,23,6,26.65955,6.900403476478093,31.56,41,7.0554189431853205,5.481435329302153,-0.0506874921250311,-1.8824952264184538,0.34824697423441986,0.5276796168122645,13.585203231340001,6.70213528634712,5.355130867167644,10.315606670414185,9.333930060999663,-9.333930060999663
drillhole,5,ConvexFusion,800,200,23,6,26.65955,6.900403476478093,31.56,41,6.67213869519025,5.226373100894216,0.060367392018565225,-1.7991906911116828,0.3994744038210012,0.6944707746842915,9.3947570118265,6.366554657903441,5.084093294162105,10.136265176085175,9.430153412146208,-9.430153412146208
spatial_block,1,Mean,812,188,19,10,25.91021276595745,6.704042196516247,31.787,32,6.69453080659696,5.385952206267686,-0.0024969344007850225,-0.3341043915732098,,,,6.2429640488801885,5.043287957764925,8.544851521691577,8.153266625615764,-8.153266625615764
spatial_block,1,OrdinaryKriging,812,188,19,10,25.91021276595745,6.704042196516247,31.787,32,7.083834717274721,5.783596157265398,-0.12248256343000019,-1.8196831812079255,-0.018927278637555306,-0.09373793901957415,28.16840935912194,6.790635581084344,5.543632404383104,10.461176961004716,10.02132266652752,-10.02132266652752
spatial_block,1,XGBoost,812,188,19,10,25.91021276595745,6.704042196516247,31.787,32,5.966661179418446,4.633653850961238,0.2036471876567103,-0.7191671570311201,0.5164925679586801,0.6946447121702114,8.41138613967814,5.583661494793551,4.434644337844864,6.835391019144865,6.1492426943779,-6.1492426943779
spatial_block,1,OOFResidualKriging,812,188,19,10,25.91021276595745,6.704042196516247,31.787,32,6.652418844139264,5.237008504619783,0.010075815222445383,-0.8713763684473954,0.4231061034492918,0.5204740322504916,12.878148623285014,6.270584763163208,5.069306335005046,7.765483079736293,7.135787105384185,-7.135787105384185
spatial_block,1,ConvexFusion,812,188,19,10,25.91021276595745,6.704042196516247,31.787,32,5.85618545897054,4.650840223677171,0.23286392141052448,-0.8941289480630477,0.5135824444498746,0.8182139868770808,5.441703089266838,5.456206649167153,4.408741878196235,7.334633707840439,6.76483054991915,-6.76483054991915
spatial_block,2,Mean,782,218,24,5,25.094174311926604,5.757896081681891,32.45,5,5.786756187788778,4.37058072690584,-0.014704261284991693,0.6966057392242876,,,,5.244225716200899,3.9941199476872495,9.442768363571703,9.387219948849108,-9.387219948849108
spatial_block,2,OrdinaryKriging,782,218,24,5,25.094174311926604,5.757896081681891,32.45,5,5.9795047001066495,4.632171014469866,-0.0834267095643495,0.23671881127818262,-0.018372131588675386,-0.06852717137222171,26.830028765991898,5.523361420892716,4.281013581385609,9.52798236054323,9.123665283426266,-9.123665283426266
spatial_block,2,XGBoost,782,218,24,5,25.094174311926604,5.757896081681891,32.45,5,5.313282055726307,3.984620148370025,0.14454955431054195,0.755130101650133,0.45550216021503537,0.6806973327244132,7.498621744823517,4.989013334099117,3.7221883895633248,10.238126258008569,9.174863174438476,-9.174863174438476
spatial_block,2,OOFResidualKriging,782,218,24,5,25.094174311926604,5.757896081681891,32.45,5,5.593480386360175,4.33335792576612,0.051945390982414685,0.6527867416102967,0.42257280402661174,0.5561766000072593,10.774317052651107,5.389498632384289,4.149611680564513,10.247934427049413,8.863164490322163,-8.863164490322163
spatial_block,2,ConvexFusion,782,218,24,5,25.094174311926604,5.757896081681891,32.45,5,5.223478409338348,4.001245755604074,0.1732223601036531,0.6588013397740404,0.4454242087994804,0.80242154481466,4.429431805914656,4.871125652014251,3.7262301976449748,10.023093226675554,9.165349654919376,-9.165349654919376
